date,cases
1/30/20,
1/31/20,
2/1/20,
2/2/20,
2/3/20,
2/4/20,
2/5/20,
2/6/20,
2/7/20,
2/8/20,
2/9/20,
2/10/20,
2/11/20,
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,2
3/10/20,2
3/11/20,3
3/12/20,4
3/13/20,4
3/14/20,8
3/15/20,10
3/16/20,10
3/17/20,13
3/18/20,14
3/19/20,15
3/20/20,16
3/21/20,21
3/22/20,26
3/23/20,31
3/24/20,37
3/25/20,42
3/26/20,46
3/27/20,53
3/28/20,68
3/29/20,91
3/30/20,100
3/31/20,135
4/1/20,150
4/2/20,172
4/3/20,198
4/4/20,198
4/5/20,204
4/6/20,228
4/7/20,229
4/8/20,230
4/9/20,240
4/10/20,241
4/11/20,239
4/12/20,230
4/13/20,241
4/14/20,224
4/15/20,224
4/16/20,216
4/17/20,204
4/18/20,213
4/19/20,214
4/20/20,199
4/21/20,201
4/22/20,201
4/23/20,206
4/24/20,213
4/25/20,203
4/26/20,208
4/27/20,202
4/28/20,194
4/29/20,195
4/30/20,200
5/1/20,205
5/2/20,201
5/3/20,210
5/4/20,214
5/5/20,219
5/6/20,234
5/7/20,238
5/8/20,232
5/9/20,235
5/10/20,228
5/11/20,234
5/12/20,240
5/13/20,241
5/14/20,240
5/15/20,235
5/16/20,239
5/17/20,233
5/18/20,229
5/19/20,230
5/20/20,227
5/21/20,218
5/22/20,221
5/23/20,224
5/24/20,229
5/25/20,229
5/26/20,235
5/27/20,243
5/28/20,263
5/29/20,322
5/30/20,348
5/31/20,394
6/1/20,418
6/2/20,428
6/3/20,461
6/4/20,491
6/5/20,497
6/6/20,534
6/7/20,555
6/8/20,576
6/9/20,587
6/10/20,612
6/11/20,605
6/12/20,574
6/13/20,576
6/14/20,553
6/15/20,548
6/16/20,548
6/17/20,528
6/18/20,523
6/19/20,552
6/20/20,569
6/21/20,576
6/22/20,580
6/23/20,624
6/24/20,606
6/25/20,629
6/26/20,657
6/27/20,666
6/28/20,674
6/29/20,709
6/30/20,758
7/1/20,785
7/2/20,763
7/3/20,822
7/4/20,853
7/5/20,972
7/6/20,1069
7/7/20,1093
7/8/20,1224
7/9/20,1264
7/10/20,1277
7/11/20,1319
7/12/20,1420
7/13/20,1408
7/14/20,1377
7/15/20,1407
7/16/20,1560
7/17/20,1574
7/18/20,1635
7/19/20,1624
7/20/20,1589
7/21/20,1620
7/22/20,1559
7/23/20,1614
7/24/20,1673
7/25/20,1719
7/26/20,1717
7/27/20,1776
7/28/20,1847
7/29/20,1886
7/30/20,1990
7/31/20,2151
8/1/20,2336
8/2/20,2530
8/3/20,2648
8/4/20,2933
8/5/20,3072
8/6/20,3170
8/7/20,3262
8/8/20,3418
8/9/20,3488
8/10/20,3860
8/11/20,3951
8/12/20,4123
8/13/20,4127
8/14/20,4281
8/15/20,4239
8/16/20,4127
8/17/20,4134
8/18/20,4053
8/19/20,4134
8/20/20,4189
8/21/20,4287
8/22/20,4337
8/23/20,4288
8/24/20,4128
8/25/20,4132
8/26/20,4200
8/27/20,4149
8/28/20,3995
8/29/20,3948
8/30/20,4012
8/31/20,4024
9/1/20,3929
9/2/20,3762
9/3/20,3597
9/4/20,3526
9/5/20,3357
9/6/20,3390
9/7/20,3158
9/8/20,3183
9/9/20,3036
9/10/20,3078
9/11/20,3085
9/12/20,3179
9/13/20,3116
9/14/20,3207
9/15/20,3212
9/16/20,3307
9/17/20,3407
9/18/20,3373
9/19/20,3463
9/20/20,3484
9/21/20,3591
9/22/20,3472
9/23/20,3446
9/24/20,3329
9/25/20,3225
9/26/20,3067
9/27/20,3037
9/28/20,2919
9/29/20,2808
9/30/20,2726
10/1/20,2657
10/2/20,2610
10/3/20,2529
10/4/20,2531
10/5/20,2485
10/6/20,2517
10/7/20,2518
10/8/20,2532
10/9/20,2560
10/10/20,2529
10/11/20,2497
10/12/20,2534
10/13/20,2536
10/14/20,2502
10/15/20,2495
10/16/20,2536
10/17/20,2536
10/18/20,2482
10/19/20,2511
10/20/20,2481
10/21/20,2390
10/22/20,2341
10/23/20,2266
10/24/20,2253
10/25/20,2234
10/26/20,2095
10/27/20,2061
10/28/20,2072
10/29/20,2036
10/30/20,1954
10/31/20,1896
11/1/20,1898
11/2/20,1874
11/3/20,1884
11/4/20,1848
11/5/20,1843
11/6/20,1855
11/7/20,1861
11/8/20,1877
11/9/20,1909
11/10/20,1897
11/11/20,1871
11/12/20,1846
11/13/20,1840
11/14/20,1829
11/15/20,1768
11/16/20,1728
11/17/20,1683
11/18/20,1712
11/19/20,1694
11/20/20,1661
11/21/20,1635
11/22/20,1601
11/23/20,1583
11/24/20,1566
11/25/20,1533
11/26/20,1531
11/27/20,1512
11/28/20,1529
11/29/20,1568
11/30/20,1571
12/1/20,1582
12/2/20,1585
12/3/20,1566
12/4/20,1517
12/5/20,1513
12/6/20,1499
12/7/20,1483
12/8/20,1503
12/9/20,1516
12/10/20,1515
12/11/20,1507
12/12/20,1465
12/13/20,1392
12/14/20,1359
12/15/20,1347
12/16/20,1327
12/17/20,1356
12/18/20,1441
12/19/20,1423
12/20/20,1422
12/21/20,1433
12/22/20,1426
12/23/20,1413
12/24/20,1441
12/25/20,1468
12/26/20,1475
12/27/20,1463
12/28/20,1424
12/29/20,1406
12/30/20,1396
12/31/20,1401
1/1/21,1376
1/2/21,1349
1/3/21,1288
1/4/21,1234
1/5/21,1208
1/6/21,1197
1/7/21,1167
1/8/21,1160
1/9/21,1198
1/10/21,1270
1/11/21,1362
1/12/21,1408
1/13/21,1439
1/14/21,1466
1/15/21,1486
1/16/21,1554
1/17/21,1625
1/18/21,1711
1/19/21,1740
1/20/21,1785
1/21/21,1815
1/22/21,1843
1/23/21,1833
1/24/21,1837
1/25/21,1803
1/26/21,1778
1/27/21,1834
1/28/21,1781
1/29/21,1767
1/30/21,1770
1/31/21,1785
2/1/21,1749
2/2/21,1766
2/3/21,1738
2/4/21,1725
2/5/21,1705
2/6/21,1716
2/7/21,1704
2/8/21,1712
2/9/21,1716
2/10/21,1652
2/11/21,1692
2/12/21,1705
2/13/21,1694
2/14/21,1681
2/15/21,1683
2/16/21,1669
2/17/21,1663
2/18/21,1673
2/19/21,1674
2/20/21,1695
2/21/21,1702
2/22/21,1744
2/23/21,1757
2/24/21,1772
2/25/21,1810
2/26/21,1855
2/27/21,1924
2/28/21,1937
3/1/21,1962
3/2/21,2010
3/3/21,2053
3/4/21,2103
3/5/21,2184
3/6/21,2270
3/7/21,2368
3/8/21,2444
3/9/21,2533
3/10/21,2628
3/11/21,2733
3/12/21,2870
3/13/21,3018
3/14/21,3215
3/15/21,3454
3/16/21,3622
3/17/21,3806
3/18/21,4007
3/19/21,4295
3/20/21,4618
3/21/21,4935
3/22/21,5266
3/23/21,5492
3/24/21,5759
3/25/21,6116
3/26/21,6487
3/27/21,6811
3/28/21,7136
3/29/21,7462
3/30/21,7806
3/31/21,7928
4/1/21,8187
4/2/21,8772
4/3/21,9099
4/4/21,9336
4/5/21,9361
4/6/21,9612
4/7/21,9595
4/8/21,9627
4/9/21,9799
4/10/21,10022
4/11/21,10178
4/12/21,10278
4/13/21,10228
4/14/21,10372
4/15/21,10551
4/16/21,10222
4/17/21,10117
4/18/21,10049
4/19/21,10140
4/20/21,9997
4/21/21,10196
4/22/21,10166
4/23/21,9915
4/24/21,9699
4/25/21,9449
4/26/21,9274
4/27/21,9177
4/28/21,9089
4/29/21,8863
4/30/21,8723
5/1/21,8590
5/2/21,8466
5/3/21,8297
5/4/21,8176
5/5/21,7926
5/6/21,7774
5/7/21,7706
5/8/21,7515
5/9/21,7446
5/10/21,7299
5/11/21,7123
5/12/21,6978
5/13/21,6844
5/14/21,6705
5/15/21,6527
5/16/21,6344
5/17/21,6253
5/18/21,6168
5/19/21,6098
5/20/21,6060
5/21/21,5955
5/22/21,5946
5/23/21,5655
5/24/21,5522
5/25/21,5467
5/26/21,5501
5/27/21,5510
5/28/21,5650
5/29/21,5700
5/30/21,5791
5/31/21,5842
6/1/21,5891
6/2/21,5929
6/3/21,6009
6/4/21,6094
6/5/21,6103
6/6/21,6398
6/7/21,6510
6/8/21,6568
6/9/21,6580
6/10/21,6652
6/11/21,6505
6/12/21,6547
6/13/21,6564
6/14/21,6546
6/15/21,6561
6/16/21,6573
6/17/21,6531
6/18/21,6488
6/19/21,6488
6/20/21,6387
6/21/21,6294
6/22/21,6214
6/23/21,6135
6/24/21,6032
6/25/21,6042
6/26/21,5960
6/27/21,5874
6/28/21,5814
6/29/21,5748
6/30/21,5684
7/1/21,5625
7/2/21,5579
7/3/21,5504
7/4/21,5516
7/5/21,5526
7/6/21,5558
7/7/21,5554
7/8/21,5513
7/9/21,5448
7/10/21,5362
7/11/21,5350
7/12/21,5322
7/13/21,5262
7/14/21,5212
7/15/21,5170
7/16/21,5133
7/17/21,5143
7/18/21,5103
7/19/21,5122
7/20/21,5150
7/21/21,5258
7/22/21,5249
7/23/21,5281
7/24/21,5314
7/25/21,5242
7/26/21,5303
7/27/21,5368
7/28/21,5394
7/29/21,5430
7/30/21,5606
7/31/21,5757
